GT,Result
652750 535096 12502 788832 817984 989778 836001 273676 987344 267420 ,903768 649898 996712 756845 536657 877373 445116 758176 447276 113003 
834567 159032 528918 19912 332869 386729 285731 551303 308802 736586 ,498656 240279 110041 333254 762628 924004 353396 408947 353925 327642 
12992 128847 500558 819086 478377 518278 352465 613933 297636 905656 ,982597 666380 619241 394768 660221 195681 649297 601603 578600 504005 
169744 635099 242501 241 351913 23872 529930 322404 530192 773834 ,738865 51810 638232 869624 978211 140504 169744 235238 733557 635099 
923397 330908 483155 153329 81172 501108 30066 861966 929219 933860 ,515356 514769 277127 303941 500865 708981 254981 831003 322936 951625 
563959 935014 42527 768881 777525 876990 186514 863000 839461 958790 ,768371 880218 667790 919288 970102 768316 997116 857481 563959 669893 
199459 781572 370847 310601 417526 609481 679073 770844 743055 274126 ,927955 266132 735552 119430 747381 553486 577294 737772 829335 740918 
293865 390061 234071 664337 701288 713673 661722 896298 227170 525840 ,501819 127367 951146 444475 24607 447003 788221 263498 452188 607249 
821040 509326 285473 617177 979573 420148 627915 518504 289288 100496 ,927309 8376 300853 131975 124687 360386 754594 967907 295273 284670 
124932 613181 864405 136451 600758 254493 834567 769483 825313 855093 ,834217 412273 952497 794008 336734 834283 834122 608997 78492 902109 
450451 588387 531690 411391 394310 841377 338599 614134 11827 682553 ,391081 962558 104176 514346 197263 840297 94499 26722 70656 193617 
975941 111985 749959 854364 588387 219386 130138 532953 842806 632216 ,2953 18592 275800 275572 864368 3336 491150 688737 694854 928092 
361119 614134 450451 370847 509335 394310 642058 679073 986900 752653 ,803229 107090 843996 729531 797703 15062 10759 795654 10600 388689 
517238 245012 691205 781361 806769 399244 920647 802227 224838 572142 ,258681 934903 517238 253073 262010 627661 245012 670462 691205 844338 
463411 608670 267829 513843 308933 881770 16722 332869 70116 398341 ,339960 679566 812197 890024 811959 940942 599748 812154 233587 168577 
513843 861433 169942 549165 385015 29259 939272 426464 495266 805122 ,130804 616737 773139 425223 384408 844749 208592 140748 31643 306908 
672708 429704 200062 204546 627915 354462 768341 355017 947494 793722 ,205098 984369 983831 421209 720227 655531 58550 995089 574634 962067 
510060 344058 805592 503319 524022 779286 112386 268012 454672 936449 ,341486 86656 90346 235182 67143 70237 461726 665397 222727 967114 
625134 270630 751246 46489 967912 964597 906011 437418 626471 758321 ,451091 48648 224715 157809 408094 790464 56479 584147 151080 625134 
21110 83901 298796 362870 249261 299576 99819 434509 391872 41065 ,362870 249261 299576 21110 83901 298796 902261 56380 806273 99819 
65287 531690 927850 848871 62538 297805 635678 888036 35431 498499 ,997347 736093 298702 436051 468947 335789 46212 841931 587269 929772 
279659 880084 122686 136532 141129 788491 793339 59183 83127 414491 ,452377 606450 489584 888535 901252 452583 35615 564468 917481 869822 
136532 172317 210926 122686 820658 518504 656683 862063 792073 531166 ,254553 102622 373455 323008 354586 322417 792272 423447 678539 44283 
221598 66379 920973 562561 853926 828498 841551 200947 705930 932976 ,394386 383585 30966 382338 334673 491244 35975 179568 978823 346990 
16722 204546 332869 824226 488761 8828 667048 915141 793722 234749 ,70713 564529 848052 701288 308460 399096 16722 715375 526974 790315 
765499 531690 219386 986900 425492 851510 297636 2676 111602 911396 ,125258 983883 2676 470380 230396 765499 225713 268523 111602 378116 
889095 538821 509335 739013 394198 871717 905080 797736 830837 129837 ,487049 842129 454019 162687 402872 20834 822272 886781 945734 595073 
734740 230396 343295 785957 490300 848871 370847 475629 613157 243924 ,333372 325008 946248 307588 382437 79816 632423 956971 747892 791878 
943477 185872 912520 521501 381568 782436 764138 309102 743916 486694 ,912520 293731 728950 20610 381568 462041 943477 782436 309102 743916 
62879 531690 201687 62798 842271 588387 128847 450451 500558 770844 ,430712 689167 84733 193319 272135 955775 594654 885199 998297 594157 
638063 479709 100278 653144 476569 774860 297913 120761 26276 533565 ,638574 982705 230045 876618 302719 765273 230162 411535 382519 264349 
16722 8828 1550 122732 254928 234162 30466 933947 881770 723765 ,933947 16722 723765 8828 855609 490840 562168 1550 122732 254928 
271421 339901 110474 798871 84841 552869 271622 696101 189328 85418 ,922827 900801 998777 187544 59397 913563 537220 696284 126431 938751 
739188 21110 822627 419871 695922 376277 391872 80761 68416 5373 ,84945 150286 744394 100874 955330 433827 780028 96337 337876 929942 
836748 225491 749959 944238 99554 644849 12848 381770 302038 160113 ,473335 14314 862259 267593 868103 576980 842560 732765 513758 497061 
288604 842271 729289 509335 715013 407658 435182 475629 781572 566147 ,715013 288604 435182 213679 980300 290257 727726 456410 967855 692763 
513843 390187 267829 30466 710408 509712 659552 463411 742221 426663 ,540855 409111 110783 97585 390187 470155 800609 913185 634339 96029 
83354 220533 485861 638769 735691 482213 20249 148584 936926 198011 ,523895 95745 118855 694656 432919 414971 872576 105588 925938 695914 
631590 429655 526292 272252 700041 796679 199465 5767 322936 440708 ,708874 415199 264201 1054 433623 806105 708981 277127 527759 15794 
654661 986066 813343 425492 395245 338599 828891 203218 742082 209914 ,797326 374184 285014 550562 931256 577761 726349 725222 837430 328896 
842271 972167 366874 209286 128847 765499 296299 84844 979419 450451 ,185905 20405 177469 114917 382536 333765 100632 615380 676380 380323 
770844 136472 267194 858603 862967 671074 268347 816414 648567 179665 ,332816 900449 973744 290029 87029 841870 942242 931102 186448 620498 
60379 259955 592980 923472 425492 394310 370538 850981 797141 132586 ,195188 805742 167798 194842 545657 333506 846030 145590 347411 259755 
338755 72746 285473 934328 599662 576153 618603 944559 507785 93325 ,512210 1640 3140 732232 287748 524288 823006 293921 367441 92679 
487962 204546 725467 884539 768341 389930 228401 31449 332869 997991 ,295649 466990 377619 966906 465819 555711 60143 123919 269559 377873 
360473 972167 834280 226459 368848 500558 506577 128847 148548 972680 ,266107 492207 120305 209359 99957 493106 394953 685163 871954 428136 
386729 55766 528918 712709 122359 801059 305031 19912 404434 903382 ,763205 566343 712709 12926 836861 492978 61630 401356 598167 549429 
854812 201687 173805 743616 450451 361119 434873 594924 3331 111554 ,508327 684891 248667 111554 703551 798297 704277 440006 622196 508614 
268264 905442 839683 908594 627990 181462 670416 338410 966233 823305 ,842512 191299 223904 854792 512216 914877 191113 512690 546500 885709 
15090 243394 324529 707421 980202 391241 603291 961950 328560 169746 ,933682 181716 172922 171097 162635 336424 587321 170214 940578 308167 
538689 728292 57157 348861 844003 648567 835957 297805 562260 992212 ,730950 684933 230406 400055 57157 268856 844003 852002 661020 96015 
987045 278762 148307 791691 282364 313970 517184 530987 822624 757938 ,97267 287501 410417 502175 421062 473862 494143 264666 869338 615984 
12992 698478 747421 518278 500558 939592 147605 667619 538689 77171 ,518278 500558 12992 939592 147605 667619 538689 77171 88185 153872 
450874 252135 983296 292636 361950 9629 269397 452553 629250 393111 ,620598 394192 599143 977462 343072 834860 102222 72936 909115 663469 
500558 62879 612801 128847 331722 214355 411391 782645 243026 607764 ,947667 513987 918910 34509 628528 39872 13993 932071 795888 79758 
426663 267829 355017 774324 211783 931528 627915 503418 463411 487962 ,421062 985437 732295 113189 114783 11354 732430 112854 2482 264666 
392147 828498 770844 890416 944197 904876 221598 475629 819086 531690 ,849277 840277 970091 126203 848627 893046 443009 210370 922587 254395 
597027 410567 478377 692791 933667 319894 254853 338410 225321 654661 ,937721 517409 622206 504011 938140 281957 300055 299436 699391 153148 
124485 868031 782541 424220 145688 733937 997534 99554 594656 842271 ,869523 15351 933089 201370 606481 960795 545090 200477 842090 223734 
627915 872028 267829 354462 487962 768341 569815 942699 617177 429704 ,280686 485266 326731 933213 588567 872028 729144 75828 751004 354462 
500558 770844 476785 128847 485024 829853 509335 106335 730020 100816 ,205784 988212 42041 917515 529355 16836 265983 158031 717182 538170 
717691 143556 718677 168756 40956 473305 303627 726599 717278 991830 ,119690 890508 834895 854804 63210 321029 426105 637747 736089 499192 
414491 265131 941368 523256 699595 305031 155037 66799 568785 521967 ,326400 576085 577210 577359 335953 886851 578938 75792 392547 663928 
544799 102106 688242 214355 949300 520035 432355 397874 642573 276833 ,552187 632858 677211 492844 187677 869457 688853 587534 98867 332502 
662725 504946 377580 30466 531166 293725 919481 431019 343155 101277 ,263202 555074 144013 994580 528733 338380 953450 940841 719648 842450 
841416 176508 723584 924781 197252 235340 844955 149525 115393 611793 ,396187 803420 146089 783693 81333 783845 841023 707168 918459 840397 
651848 835957 62879 18080 546183 994170 986313 812260 79537 689237 ,835957 157708 310539 760266 438226 633499 650055 18080 62560 532988 
310548 531690 450451 986900 232776 288194 475629 141433 2665 817744 ,295852 608479 15541 810552 882794 10492 107836 253852 193982 952217 
842271 62879 318800 450451 858603 990135 531690 854812 966233 500558 ,594148 594622 917070 69909 709282 594869 582054 266212 869398 843006 
332869 722979 509326 200062 170602 617177 997991 725467 204546 315931 ,690403 465876 599342 691198 200324 265748 30520 413096 438739 542860 
450451 614134 432909 92085 219386 531690 111985 394310 668432 201687 ,796485 838458 129060 12504 416878 90066 732938 796495 100140 921971 
30466 210926 911677 80802 659613 168062 46766 279756 249336 46168 ,759372 505736 606507 44924 661949 101685 163191 571679 472183 863195 
770844 857372 611267 374907 450451 854812 904402 717589 214355 176213 ,938090 938028 837681 672820 939527 400009 760395 824387 508583 837771 
768341 722979 834567 455335 582572 105103 204546 837490 467931 256043 ,224332 523573 872229 698134 924866 723158 276063 509132 773853 512704 
234749 915141 488761 824226 808739 770642 597521 780010 892496 579039 ,366298 802102 317489 691369 579502 402012 106274 764787 522855 13142 
905442 494831 828498 475629 230396 343295 842271 500558 646045 857277 ,443005 849194 442830 832993 912762 49970 544643 444352 191393 885694 
574887 810889 443405 457643 234425 410567 244917 218074 159370 623337 ,445449 593388 667362 415713 796107 702274 849094 478615 827171 446171 
614134 812069 531690 827499 879720 411391 522147 111602 450451 752678 ,840393 667789 449598 886398 541797 880160 897492 879713 669868 517315 
6217 1408 189549 227294 312953 610558 830747 260202 926107 41404 ,961455 368601 358499 412912 297266 879361 429524 861657 950556 570613 
961924 338233 742221 432879 944559 351913 795249 714713 429991 553407 ,385144 223552 89852 407734 761541 834437 547155 155807 908731 498248 
987344 226459 538821 450451 679073 185345 770844 739013 509335 317595 ,895274 157129 723577 920183 881463 441720 919449 504459 504882 847143 
450451 531690 770844 614134 895459 987344 618355 845267 940026 201687 ,819780 868698 880657 933974 560812 195091 902152 842360 955586 12928 
862967 297416 300999 634323 13039 75556 874337 990602 454702 311695 ,984990 328919 145334 584351 161271 282030 96138 988874 327204 455453 
770844 774399 267194 818963 410567 562260 217764 610344 848131 797994 ,846585 69943 555947 997489 185607 762072 774399 844080 208115 905019 
370847 848871 781572 201687 927850 361119 199459 310601 62879 435310 ,773246 865111 954067 826395 985782 954417 521615 557720 345973 433485 
500558 781572 742928 251462 854804 395623 317595 641696 538689 894773 ,395623 742928 251462 854804 894773 10181 286879 56767 500558 257555 
209972 490989 659803 494087 560863 992578 775624 486917 227104 16367 ,209972 948788 65873 865781 373971 942710 952350 490989 659803 678353 
8828 131822 56828 529988 331368 254928 748442 463102 986995 41098 ,577814 551748 465562 8828 631521 913871 167617 128541 146525 289902 
370847 219386 959551 827499 611505 232776 317321 986900 340479 904593 ,110571 199459 419694 289102 963000 557720 920939 442866 855404 469221 
770844 201687 531690 927850 239556 845267 858603 785957 450451 187632 ,578681 710794 562547 275727 953806 91590 923220 742910 516498 439676 
423637 944163 905822 684559 120067 649870 478271 864405 351913 556006 ,930517 930581 728105 368601 789418 370987 901321 789344 187516 606404 
576153 432858 818313 467931 265100 45976 944559 370357 608670 550494 ,393473 12451 100136 481424 725629 561120 375211 939847 439970 145899 
574887 210238 987344 509335 100490 369124 770844 393111 226984 34239 ,887521 148784 949244 195864 274620 14241 207994 879734 971439 126967 
728292 340517 614134 349019 214355 413176 142874 754429 310601 526356 ,526356 381379 616102 240899 2526 921618 940666 656591 51668 949488 
931528 327902 267829 5373 262964 926940 342660 107069 426663 434970 ,577850 87488 909719 550912 82558 275450 574921 948967 949578 111152 
560985 896485 84703 742221 211880 553407 967001 630737 136532 629929 ,155325 237911 820317 155662 89634 384263 90090 500389 78253 82534 
210167 723074 893413 530317 241537 945976 313502 880274 178263 398224 ,382370 565808 987306 224246 210167 9590 10448 549463 16574 180583 
531364 254928 8828 910811 671584 597526 489744 933947 531690 213274 ,671584 531364 597526 254928 489744 933947 8828 910811 213274 805230 
336469 400897 326522 318499 630070 304158 747996 181313 399560 289460 ,181481 394295 336469 316253 938938 707494 822575 400897 326522 933864 
57748 850970 721947 251025 904624 608065 890885 788344 978435 898375 ,251025 653827 610863 128683 257810 827999 318819 608065 982031 486146 
317595 538821 209286 739013 226459 679073 441438 503698 14926 922167 ,867463 690192 670089 202653 668101 832605 934643 831470 61309 291249 
770844 858603 198529 987336 865567 98163 35354 782645 779388 905442 ,482229 805286 742240 21027 779388 82699 485896 841158 940918 853650 
251462 641696 830953 500558 719587 792945 732286 538689 617927 705453 ,757033 667766 702995 486077 795395 885506 830953 861378 540445 611133 
844607 277708 885778 872953 201637 604273 856544 892986 958301 41036 ,669944 870174 870976 515257 257451 413849 868498 861351 207110 515325 
956926 672458 820658 523925 93244 910811 677361 905583 529945 958445 ,101283 930073 702221 555272 836437 825097 656838 281410 614202 830065 
842295 678059 522147 478377 54200 879720 555086 231053 565986 863107 ,905189 583753 58882 207662 842295 939213 15900 809072 795381 207685 
62798 62879 856836 812260 836001 304370 399532 492880 562260 900484 ,541889 513091 158159 169150 71517 883119 197811 265519 570139 661727 
845267 62798 770844 919758 719587 98163 84844 648567 987344 538689 ,390445 256698 390377 895104 931672 416152 112514 207092 525797 639689 
414491 62407 66421 772495 518504 315308 479709 362577 386729 525240 ,62407 674257 688541 516321 421141 52809 461306 810725 66421 834121 
425492 892978 531690 182956 486146 392297 890885 910034 107713 40300 ,161818 310612 313344 819279 202937 482150 628621 673091 825427 758806 
39954 541843 857300 935211 573077 987344 89152 212429 102792 226480 ,39954 825920 869305 991526 934642 848627 898969 836442 931680 486526 
509335 888133 221598 853926 62879 960656 40300 450451 486146 128847 ,695505 473334 501365 318084 143033 16429 508905 525884 865317 210292 
828498 33681 343066 210540 179261 125260 624398 130138 66379 625302 ,679690 16958 349237 832406 542183 864462 542057 664223 248771 665178 
742221 105103 315931 437003 432879 915316 501108 549165 136532 385015 ,931772 931758 394441 474347 203355 695096 415744 130569 108663 662697 
62407 41287 992160 617177 714092 534417 323846 332036 315308 946303 ,501955 789699 36882 605291 654119 496342 937485 758722 891435 786740 
531690 450451 503698 854911 509335 842271 987336 756342 370847 29110 ,931792 429138 741660 968508 963314 962443 793221 504972 201126 265404 
888133 221598 288194 853926 17073 714954 986900 475629 210616 620816 ,209638 210616 888133 892978 620816 191358 111602 18320 812069 224749 
602995 487962 421541 6953 46236 66834 754412 814624 569815 640329 ,654231 768557 46372 646365 655150 964989 447567 654894 791407 804531 
509335 770844 729289 392297 487024 899161 987344 904876 890416 474031 ,507346 877557 657849 560849 563458 657821 201637 267018 820215 682264 
770844 485024 987336 719587 865567 905442 15692 486809 992212 100816 ,121481 58041 746006 8799 970122 359538 354818 619044 947085 267194 
478377 904876 425492 500558 128847 450451 494831 392147 588387 343066 ,936494 704473 842871 670642 145127 875121 880396 193076 941640 504686 
6944 348861 79537 264892 10445 692000 197490 480965 572141 932218 ,669109 210455 710328 948599 895862 665055 628102 217218 223719 136388 
376277 698478 386729 525240 68416 305031 232811 83901 742221 522276 ,262029 306845 23764 36298 227837 352524 497424 363391 278876 364319 
842271 795959 790170 112915 563332 296299 862254 206277 230396 836166 ,45339 113040 553188 653663 862959 712315 400880 969710 834300 311886 
746381 130138 966162 210540 983067 855257 436964 646045 158208 969198 ,947267 858888 746381 130138 60931 871666 209728 843035 966162 813694 
450451 509335 478377 531690 361119 62879 15692 268264 828498 848871 ,931823 795647 60159 407973 839150 507518 311874 807383 863526 265988 
100816 395782 366874 842271 787368 148941 862967 450451 60814 992212 ,288253 192498 271314 519449 741024 971685 943294 192482 271298 573234 
394310 868180 120562 203933 311376 223635 485604 243911 817970 269044 ,924691 185223 117959 884640 352849 227858 116525 942312 966361 916725 
414491 41287 71787 518504 501456 30466 576576 617177 72746 735926 ,530369 192151 380047 666157 504610 84398 496592 631348 10686 474946 
943895 43606 970429 258432 731495 15155 641581 740683 679657 572331 ,267670 268329 880053 109290 274749 195933 641093 891106 357260 47264 
254928 258115 308637 201000 510313 332869 386729 448322 376277 8828 ,393922 684165 518503 261904 903389 308010 610719 307518 398831 735101 
308191 168062 731626 107069 929942 68416 376277 391872 262964 448322 ,77315 629452 95604 1483 95246 970528 620945 939097 626771 731519 
983197 888133 405782 546878 450451 743527 968957 595702 238856 17073 ,800489 732286 219494 800603 867728 225944 911257 947505 960900 870150 
981654 246721 990844 844003 689984 403075 506494 407703 257566 862379 ,659028 682079 694800 233097 228545 841769 862259 981654 26232 995076 
410567 606543 217764 485024 385520 37539 645004 633499 135611 844970 ,641042 959651 615095 583068 886068 825712 877101 758074 428875 846063 
95900 269529 330974 855205 804074 845340 470889 661707 574083 296367 ,263404 739541 648128 222381 510715 860000 116724 77060 167450 334450 
296674 950475 699830 80397 451357 818313 904250 925833 32518 268122 ,932473 932923 14485 14518 292948 265935 203434 267712 12618 294507 
101183 387260 983725 242565 36247 723527 822355 242863 760242 451519 ,620534 468382 64170 364995 835518 705048 435828 452522 695095 706179 
834280 393111 986900 269397 103638 531690 118289 767219 129028 726599 ,466291 575663 835309 334811 283369 811521 168756 621308 551545 438772 
895459 60379 478377 38484 924645 728292 411842 243026 592980 340517 ,296414 679756 924645 911235 661198 411842 193479 699877 107001 439234 
509326 79553 480826 748630 470889 360359 169903 432069 617177 917912 ,716561 716610 174929 141728 658449 832801 518891 814966 175483 20088 
308802 332869 290740 315931 210926 598735 298796 170602 723670 631420 ,181353 869074 865892 299190 303144 129244 498821 149462 696013 901846 
895459 268264 411391 614134 756342 812069 904876 214355 500558 905442 ,60421 880107 880049 879738 866568 880022 278309 57081 224284 711031 
770844 500558 392147 338599 106335 509335 394319 62879 148941 130138 ,181953 805803 199034 277850 665178 69629 169115 229202 909604 253194 
103638 330341 856877 62879 206633 863334 966233 503698 490300 797239 ,206633 223600 594590 224922 14437 300 243348 871003 903940 550779 
267829 30466 748630 426663 168062 123974 29963 645524 153704 269750 ,123974 429541 299464 730557 261640 615006 448371 853419 964707 428863 
227169 42678 903931 446957 130968 980042 497161 310659 103912 504084 ,112368 37583 558515 112396 604463 310825 216297 254228 814182 910951 
986900 614134 812069 987336 98163 111602 827499 756065 474286 62798 ,934194 987990 181267 516167 298617 43913 483842 849075 254510 932029 
377580 267829 947494 244168 822529 532802 338256 326197 531166 607291 ,338256 171508 354743 326197 91343 607291 148568 535250 309443 86605 
136532 429991 970760 172317 105156 629982 101624 213119 310442 978846 ,21565 661949 163709 742674 812728 639327 199744 128424 708987 453395 
986900 251462 842271 103078 310548 243924 102818 230396 62538 890851 ,852341 332456 108091 102163 840265 811642 535605 779727 287762 113105 
227347 689023 423807 104791 966787 600469 709227 861642 525043 448563 ,473011 565287 905203 173375 818139 982569 825834 172555 889019 351951 
710588 562527 208528 981547 282052 302038 493097 40607 615842 325759 ,404285 277702 83176 402304 966081 774060 13590 76011 626080 513027 
652913 199499 549689 933159 62879 67678 942860 788965 6384 553275 ,935638 181991 598192 707260 211211 695686 930001 910199 397138 679170 
450451 476785 454753 842271 770844 343066 297636 865567 100816 531690 ,728055 664880 928942 127066 725222 571636 173804 129536 272908 944135 
582015 429006 763878 491404 193411 86787 205935 601114 40887 296080 ,303053 582015 411011 498189 538492 591500 429006 208140 52160 480058 
14032 928611 136500 224939 879301 868554 562247 403429 391615 16066 ,510561 826056 791573 483847 14688 904229 830778 499682 12776 513068 
308637 294379 375298 630737 501108 654394 218615 481845 712709 473396 ,292639 949373 651594 841079 32478 575169 761092 724992 726987 741787 
827499 784343 201687 111985 920939 481350 848871 809980 385934 851510 ,828747 39243 900690 828317 827830 887249 826292 828227 54790 865511 
134542 343958 177549 418640 803253 632216 160377 309494 975941 630494 ,356801 343150 156800 54758 33033 828487 705489 453170 139695 110336 
414491 362577 915223 865594 267829 401320 175569 650539 987455 698478 ,267829 401320 175569 987455 698478 969816 941368 305031 504569 364312 
812524 987344 475629 181322 531690 797239 340517 490300 573929 2665 ,841262 401812 492291 163249 352123 13583 519040 194551 339800 877906 
479709 386729 664567 67119 741001 45976 717096 576153 494354 586941 ,741001 479709 664567 67119 717096 386729 494354 586941 456709 766272 
987344 944197 562260 770844 797239 618355 392147 392297 690101 531690 ,480918 934098 683 988461 542638 99966 810060 194718 617943 869743 
980270 721867 225974 197869 614134 561821 13971 58956 277594 113710 ,833353 226062 504736 64531 904728 628736 547619 787472 863095 228201 
343066 210540 130138 836270 237282 377098 342531 403682 734521 238452 ,503719 861988 130886 261000 522522 504882 456285 2590 488222 183942 
289288 30466 513843 267829 617177 947494 834734 627915 100496 662725 ,935018 801034 780460 598767 932795 801660 713161 704702 687353 645327 
343066 128847 210540 413755 476785 454753 331722 127522 90079 238452 ,839343 27206 886254 819086 928226 316756 132448 477064 343066 128847 
671074 979573 734521 208905 959551 370847 413755 646045 343295 829480 ,734521 208905 959551 370847 413755 646045 343295 829480 476785 352124 
105156 429991 698478 822117 68416 522276 994017 521967 30030 525240 ,83864 94396 745840 520730 635111 617323 936460 534642 685910 815199 
608670 389902 513843 488761 100496 636826 289288 16722 116753 600758 ,519920 221525 946872 562122 648120 158441 732577 989878 740278 29701 
8828 513843 463411 739188 488761 234162 608670 97230 70116 369109 ,935969 596633 172777 77495 863908 366822 454245 276995 155527 384147 
294379 72746 41287 949715 32587 189336 956741 748981 466918 233339 ,200329 96907 381880 797558 983298 82749 871444 947291 798813 547724 
114158 285065 31442 600198 473895 398099 927604 305673 228315 455335 ,685021 689966 866750 157505 201017 16544 160962 514878 372814 157709 
538689 845087 967850 235480 451501 849435 500558 890851 128262 726748 ,736857 971578 399465 63755 739020 64547 198528 351700 166433 787346 
268245 520434 494831 489621 956128 500558 114149 673311 853925 354220 ,669659 843289 914596 856081 843562 897252 949446 883798 513818 266764 
500558 553283 128847 450451 752653 719587 340083 15692 485024 509335 ,122085 406174 628072 919884 87960 733358 958784 500558 696395 69881 
297805 103078 201687 614134 986900 98163 333414 588387 754429 881863 ,403367 301509 843432 587403 181067 575511 204529 268807 687389 236742 
488761 513843 636826 793722 947494 662725 100496 136532 608670 429704 ,273372 5902 286953 874138 471472 196950 684557 264783 273517 439363 
918397 402731 993260 212900 582416 194705 668923 460461 124330 840874 ,729700 191356 811549 993352 877540 838131 942514 767252 993242 734791 
93235 207571 677935 934637 95376 823744 435282 46702 702427 811685 ,936584 240358 203138 240184 487307 203147 90190 207529 74073 332328 
890851 845267 233542 920647 563015 102818 853925 990135 974548 673168 ,487366 452821 205410 994750 235450 327215 790992 845139 357797 831225 
523176 630737 232811 386729 467931 30245 514454 105156 254928 83901 ,695043 104943 107367 272964 692952 595459 232811 822732 987100 88330 
85756 364259 2725 70080 601368 46330 348607 429991 554870 435956 ,70080 46330 85756 348607 429991 554870 435956 364259 2725 427990 
824226 915141 234749 8828 609211 45568 933947 210214 309759 536312 ,933947 824226 43440 604296 767893 570349 541355 768341 48420 309759 
487024 297636 987344 573929 506577 185345 836748 588387 644849 226459 ,491279 614740 64246 223194 806455 547838 264624 200346 595850 438418 
952494 975169 966233 181462 789975 445473 589933 199929 733358 476785 ,801820 722886 688745 230346 342917 570606 980243 27624 702072 484030 
241552 682427 118230 69299 752937 433214 21409 62879 793946 846863 ,159658 255054 107001 241552 295544 682427 879353 904117 430881 205432 
342660 267829 16722 262964 698478 527344 210214 234162 27972 233741 ,745438 226266 172501 59855 630147 688976 214353 154596 749463 153450 
273165 951696 788068 950086 406006 625292 391878 106923 490673 268326 ,733216 825939 286756 448581 936920 516115 21816 934344 703720 328774 
983299 734582 25426 533990 723048 101046 152809 413869 961583 523215 ,346052 598524 759703 431163 98784 726466 811476 25815 313724 89183 
62879 588387 485024 62798 503698 966233 128847 106335 960656 103078 ,619332 721882 805918 277934 934076 843627 486326 619511 370315 879959 
507476 702584 106337 815654 468337 207152 172317 281358 270723 898741 ,70307 183465 223241 522663 150413 91871 253580 43940 150207 936529 
531690 770844 858603 239556 391254 103600 193654 49013 854911 975847 ,353780 205888 777465 254510 775145 868024 773427 596593 741954 90653 
450451 667322 297636 62879 128847 845267 588387 35354 509335 201687 ,935527 800449 795800 315269 688857 596250 230962 796533 880492 687158 
357654 975045 214099 166966 797239 553739 146346 62538 392297 843791 ,133127 629932 909315 134629 975045 229262 946212 748692 848705 717688 
129840 590441 279440 372990 233339 460858 805122 200177 473063 440191 ,938903 627129 936761 46098 46509 938674 813305 206684 270962 125130 
386729 495030 279228 467931 649612 254928 824226 894096 234749 930090 ,106266 192720 497680 337462 397453 105103 16803 941799 351200 797485 
765691 627915 933947 536312 362317 8828 556438 10497 217748 911994 ,907385 229734 455124 207657 655568 476864 656893 424122 120325 876502 
128847 394089 476785 538821 563015 450451 343066 509335 500558 454753 ,363212 843547 424174 542534 751433 211665 745867 705400 637525 971447 
59866 444785 556686 18684 453976 445886 925064 30466 439704 416441 ,322639 671400 300369 355097 965998 668752 284345 61570 211923 919178 
166627 728629 493523 824984 76709 189798 448343 960042 490639 500558 ,263085 166627 598714 822719 346377 582969 206021 877253 556991 911094 
500558 657186 553283 343857 340083 770844 819086 919748 128847 375303 ,50345 50343 907224 915819 961984 665715 763230 732178 405727 411885 
21110 178042 30466 742221 698478 305739 172654 267829 825518 222402 ,822105 936543 351269 821935 786498 789815 952359 83713 692475 460319 
551049 864757 321361 493024 474529 528746 63868 819086 400119 444706 ,182812 182549 779998 597499 341550 490786 779800 335220 342685 431266 
600861 202502 473466 470918 631082 293725 671939 66219 325384 286633 ,594102 500032 501537 498286 937547 268811 204634 129245 506890 377396 
530580 437333 72746 469320 436658 416019 377767 78001 536725 553118 ,598200 822528 165202 359401 585656 348651 390689 997701 522419 498017 
978892 214355 509335 62879 243026 450451 850981 812069 12759 997767 ,225991 933509 364147 328506 899080 12759 661182 690359 596512 462656 
290740 865883 404004 308802 260024 627915 536312 405477 477926 355017 ,5134 453889 398449 527250 420144 100661 631082 539252 940173 189770 
365034 946303 783671 128601 6382 41287 303723 244031 258115 798633 ,202230 989428 577977 201159 449380 950527 806009 724987 513804 510386 
933867 562935 608670 385215 159148 199800 988285 944559 698478 699595 ,178863 587829 433649 486043 349767 630178 235340 274441 761092 254558 
348861 687733 239556 835957 595917 49013 304370 260808 613933 823305 ,687733 415350 51668 31514 334135 367620 91029 700516 514785 833369 
80019 418987 822717 100377 65669 16722 805122 571595 44865 490641 ,518140 518032 866680 876124 295672 242133 717742 625950 158893 748811 
348900 503418 159032 457037 463411 309759 915316 315931 749554 756945 ,936003 49823 200824 478506 500416 47729 937928 963435 146599 167358 
910811 201000 315308 62407 696176 172317 423807 607005 338233 677379 ,182570 570334 813768 712018 518454 536302 809796 320522 846778 924011 
136532 523176 944559 861433 519715 742221 29259 869345 437003 978846 ,657496 522663 861433 293454 861357 406012 941458 352491 504289 991774 
588387 450451 411391 980202 394089 749959 881863 721947 686794 65223 ,543802 81080 939814 546698 434472 783941 546395 266251 333008 967548 
210926 285473 558650 65189 67119 46766 509326 41701 190409 641407 ,477659 36833 472223 933440 477278 274841 196025 167987 38421 807590 
856607 830953 276082 832578 719587 801741 331106 360983 97354 617927 ,872230 862554 269539 886540 22382 762424 385520 878371 777093 703677 
478377 531690 614134 474286 450451 986900 198529 102818 475629 98163 ,938221 988297 490785 487998 871599 932975 523320 670845 524071 842838 
459034 771426 429991 578637 575169 71003 703338 916393 698478 501108 ,602702 601937 460630 510685 673106 731915 672462 720444 106782 597911 
707791 941994 165153 936566 671882 844246 76032 856612 930367 979318 ,172910 204599 168942 35873 417778 436230 631696 707791 682659 866520 
